Legend:
  ':' means that the register is kept alive, while it is not actively being used by the current instruction
  '^' means that the current instruction writes to the register
  'v' means that the current instruction reads from the register
  'x' means that the current instruction both reads from the register and writes to it
 'Rn': Number of live registers

  Line | Rn  |             | Instruction
    29 |   7 | :::::::     | s_waitcnt lgkmcnt(0)
    30 |   7 | :::::::     | s_delay_alu instid0(VALU_DEP_2)
    31 |   8 | :::::v:^    | v_add_co_u32 v7, vcc_lo, s4, v5
    32 |   9 | ::::::v:^   | v_add_co_ci_u32 v8, vcc_lo, s5, v6, vcc_lo
    33 |   9 | :::::x:::   | v_add_co_u32 v5, vcc_lo, s6, v5
    34 |   9 | ::::::x::   | v_add_co_ci_u32 v6, vcc_lo, s7, v6, vcc_lo
    35 |   9 | :::::::xv   | global_load_b32 v7, v[7:8], off
    36 |   8 | :::::xv:    | global_load_b32 v5, v[5:6], off
    37 |   7 | :::::: :    | s_waitcnt vmcnt(1)
    38 |   7 | ::::v: v    | scratch_store_b32 v4, v7, off
    39 |   6 | ::::::      | s_waitcnt vmcnt(0)
    40 |   6 | :::v:v      | scratch_store_b32 v3, v5, off
    41 |   5 | :::x:       | v_add_nc_u32 v3, 4, v3
    42 |   5 | ::::x       | v_add_nc_u32 v4, 4, v4
    43 |   5 | :::::       | s_cbranch_scc1 _L30
    45 |   3 | : ^^        | v_dual_mov_b32 v3, 0 :: v_dual_mov_b32 v2, 0
    47 |   5 | : ::^^      | v_dual_mov_b32 v5, 0x400 :: v_dual_mov_b32 v4, 0
    49 |   7 | : ::::^^    | v_dual_mov_b32 v6, 0x200 :: v_dual_mov_b32 v7, 0
    50 |   7 | : ::::::    | s_mov_b32 s2, 0
    51 |   7 | : ::::::    | s_mov_b32 s4, s3
    52 |   7 | : ::::::    | s_nop 0
    53 |   7 | : ::::::    | s_nop 0
    54 |   7 | : ::::::    | s_nop 0
    55 |   7 | : ::::::    | s_nop 0
    56 |   7 | : ::::::    | s_nop 0
    57 |   7 | : ::::::    | s_nop 0
    58 |   7 | : ::::::    | s_nop 0
    59 |   7 | : ::::::    | s_nop 0
    60 |   7 | : ::::::    | s_nop 0
    61 |   7 | : ::::::    | s_nop 0
    62 |   7 | : ::::::    | s_nop 0
    63 |   8 | : ::::v:^   | label_31: scratch_load_b32 v8, v6, off
    64 |   9 | :^:::::v:   | scratch_load_b32 v1, v7, off
    65 |   9 | ::::::x::   | v_add_nc_u32 v6, 4, v6
    66 |   9 | :::::::x:   | v_add_nc_u32 v7, 4, v7
    67 |   9 | :::::::::   | s_add_i32 s4, s4, -1
    68 |   9 | :::::::::   | s_delay_alu instid0(SALU_CYCLE_1)
    69 |   9 | :::::::::   | s_cmp_lg_u32 s4, 0
    70 |   9 | :::::::::   | s_waitcnt vmcnt(1)
    71 |  10 | :::v::::v ^ | v_add_nc_u32 v10, v8, v3
    72 |  10 | :::v::::x : | v_add_co_u32 v8, vcc_lo, v3, v8
    73 |  10 | ::: v::::^: | v_add_co_ci_u32 v9, vcc_lo, 0, v4, vcc_lo
    74 |  10 | ::: ^:::::: | v_mov_b32 v4, s2
    75 |  10 | ::: ::::::: | s_waitcnt vmcnt(0)
    76 |  10 | :v: ::::::x | v_sub_nc_u32 v10, v1, v10
    77 |  10 | ::: ::::::: | s_delay_alu instid0(VALU_DEP_3)
    78 |  10 | :vv ::::vv: | v_cmp_gt_u64 vcc_lo, v[8:9], v[1:2]
    79 |   7 | : : :v::  v | scratch_store_b32 v5, v10, off
    80 |   6 | : : :x::    | v_add_nc_u32 v5, 4, v5
    81 |   7 | : :^::::    | v_cndmask_b32 v3, 0, 1, vcc_lo
    82 |   7 | : ::::::    | s_cbranch_scc1 _L31
    84 |   3 | :^^         | v_dual_mov_b32 v2, 0x400 :: v_dual_mov_b32 v1, 0
    85 |   4 | ::v  ^      | label_32: scratch_load_b32 v5, v2, off
    86 |   6 | vv:^^:      | v_lshlrev_b64 v[3:4], 2, v[0:1]
    87 |   6 | x:::::      | v_add_nc_u32 v0, 1, v0
    88 |   6 | ::x:::      | v_add_nc_u32 v2, 4, v2
    89 |   6 | ::::::      | s_add_i32 s3, s3, -1
    90 |   6 | ::::::      | s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(VALU_DEP_3)
    91 |   6 | ::::::      | s_cmp_eq_u32 s3, 0
    92 |   6 | :::x::      | v_add_co_u32 v3, vcc_lo, s0, v3
    93 |   6 | ::::x:      | v_add_co_ci_u32 v4, vcc_lo, s1, v4, vcc_lo
    94 |   6 | ::::::      | s_waitcnt vmcnt(0)
    95 |   6 | :::vvv      | global_store_b32 v[3:4], v5, off
    96 |   3 | :::         | s_cbranch_scc0 _L32
    97 |   0 |             | label_29: s_endpgm

Maximum # VGPR used  10, VGPRs allocated by HW:  16 (11 requested)

Architecture info:
  VGPRs total: 256
  VGPR allocation granularity: 16
